127.0.0.1 - - [11/Apr/2020:15:05:02 +0700] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2020:15:05:03 +0700] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2020:15:05:05 +0700] "GET /home HTTP/1.1" 200 7117
0:0:0:0:0:0:0:1 - - [11/Apr/2020:15:05:09 +0700] "GET /home HTTP/1.1" 200 7167
0:0:0:0:0:0:0:1 - - [11/Apr/2020:15:05:09 +0700] "GET /resources/web/homepage/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2020:15:05:09 +0700] "GET /resources/web/homepage/css/shop-homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2020:15:05:09 +0700] "GET /resources/web/homepage/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2020:15:05:09 +0700] "GET /resources/web/homepage/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2020:15:05:09 +0700] "GET /anh/abc.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2020:15:05:10 +0700] "GET /home HTTP/1.1" 200 7217
0:0:0:0:0:0:0:1 - - [11/Apr/2020:15:05:10 +0700] "GET /resources/web/homepage/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2020:15:05:10 +0700] "GET /resources/web/homepage/css/shop-homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2020:15:05:10 +0700] "GET /resources/web/homepage/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2020:15:05:10 +0700] "GET /anh/abc.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2020:15:05:10 +0700] "GET /resources/web/homepage/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2020:15:05:23 +0700] "GET /item HTTP/1.1" 200 4294
0:0:0:0:0:0:0:1 - - [11/Apr/2020:15:05:23 +0700] "GET /item HTTP/1.1" 200 4294
0:0:0:0:0:0:0:1 - - [11/Apr/2020:15:05:23 +0700] "GET /item HTTP/1.1" 200 4294
0:0:0:0:0:0:0:1 - - [11/Apr/2020:15:05:23 +0700] "GET /item HTTP/1.1" 200 4294
